Date,Time,Transaction ID,Type,Amount,Status,Payee Name
2024-03-01,10:15:30,TXN001,Paid,350.00,Success,Swiggy
2024-03-02,12:30:00,TXN002,Paid,180.00,Success,Zomato
2024-03-03,09:00:00,TXN003,Sent,15000.00,Success,Rajesh Kumar (Rent)
2024-03-04,14:22:10,TXN004,Paid,120.00,Success,Uber India
2024-03-05,08:45:00,TXN005,Paid,249.00,Success,Netflix
2024-03-06,16:00:00,TXN006,Received,5000.00,Success,Amit Sharma
2024-03-07,11:10:00,TXN007,Paid,599.00,Success,Flipkart Online
2024-03-08,19:30:00,TXN008,Paid,85.00,Success,Rapido
2024-03-09,07:00:00,TXN009,Paid,1100.00,Success,BESCOM Electricity
2024-03-10,13:45:00,TXN010,Paid,450.00,Success,Dominos Pizza
15 Mar 2024,10:00:00,TXN011,Debit,200.00,Completed,Starbucks Coffee
15 Mar 2024,17:30:00,TXN012,Debit,1800.00,Completed,Amazon Shopping
2024-03-17,09:15:00,TXN013,Paid,60.00,Success,Chai Point
2024-03-18,20:00:00,TXN014,Paid,149.00,Success,Spotify Premium
2024-03-19,06:30:00,TXN015,Sent,800.00,Success,Petrol - HP
2024-03-20,12:00:00,TXN016,Paid,399.00,Success,Myntra Fashion
2024-03-21,15:45:00,TXN017,Failed,500.00,Failed,Some Restaurant
2024-03-22,10:30:00,TXN018,Paid,950.00,Success,IRCTC Railway
2024-03-23,14:00:00,TXN019,Paid,75.00,Success,Metro Card Recharge
2024-03-24,08:00:00,TXN020,Paid,2500.00,Success,Maintenance Society
